time_s,north_m,east_m,altitude_m,roll_deg,pitch_deg,yaw_deg,flight_path_deg,airspeed_mps,alpha_deg,elevator_deg,rudder_deg,elevator_command_deg,surface_contact
0.000000,0.000000,0.000000,10.500000,0.000000,-1.318000,0.000000,-3.000000,5.000000,1.682000,0.000000,0.000000,-2.580000,false
0.050000,0.249843,0.000000,10.478424,0.000000,-1.316688,0.000000,-6.742278,5.037657,5.425590,-2.394702,0.000000,-3.441819,false
0.100000,0.500537,0.000000,10.441814,0.000000,-1.324715,0.000000,-9.748238,5.101431,8.423524,1.476769,0.000000,8.602408,false
0.150000,0.752861,0.000000,10.392629,0.000000,-1.409673,0.000000,-12.248660,5.185312,10.838986,6.375373,0.000000,10.000000,false
0.200000,1.007443,0.000000,10.332043,0.000000,-1.637474,0.000000,-14.476342,5.285465,12.838868,8.543344,0.000000,10.000000,false
0.250000,1.264784,0.000000,10.260715,0.000000,-2.035394,0.000000,-16.459578,5.398824,14.424185,9.414603,0.000000,10.000000,false
0.300000,1.525362,0.000000,10.179294,0.000000,-2.608413,0.000000,-18.197084,5.523297,15.588671,9.764742,0.000000,10.000000,false
0.350000,1.789642,0.000000,10.088467,0.000000,-3.350662,0.000000,-19.690171,5.656425,16.339509,9.905455,0.000000,10.000000,false
0.400000,2.058094,0.000000,9.988954,0.000000,-4.250020,0.000000,-20.943794,5.797140,16.693773,9.905455,0.000000,10.000000,false
0.450000,2.331233,0.000000,9.881497,0.000000,-5.290148,0.000000,-21.964469,5.944750,16.674322,9.905455,0.000000,10.000000,false
0.500000,2.609612,0.000000,9.766858,0.000000,-6.452288,0.000000,-22.759963,6.098779,16.307675,9.905455,0.000000,10.000000,false
0.550000,2.893827,0.000000,9.645816,0.000000,-7.715760,0.000000,-23.338932,6.258961,15.623172,9.905455,0.000000,10.000000,false
0.600000,3.184513,0.000000,9.519166,0.000000,-9.058282,0.000000,-23.710265,6.425129,14.651983,9.905455,0.000000,10.000000,false
0.650000,3.482309,0.000000,9.387740,0.000000,-10.456318,0.000000,-23.883419,6.595826,13.427101,9.905455,0.000000,10.000000,false
0.700000,3.787816,0.000000,9.252414,0.000000,-11.885404,0.000000,-23.868763,6.770273,11.983359,9.905455,0.000000,10.000000,false
0.750000,4.101604,0.000000,9.114070,0.000000,-13.311682,0.000000,-23.695551,6.947220,10.383869,6.502476,0.000000,0.016442,false
0.800000,4.424052,0.000000,8.973372,0.000000,-14.640160,0.000000,-23.453613,7.125171,8.813452,1.331409,0.000000,-4.267617,false
0.850000,4.755240,0.000000,8.830442,0.000000,-15.759347,0.000000,-23.249718,7.303403,7.490370,-3.834780,0.000000,-9.397482,false
0.900000,5.094954,0.000000,8.684773,0.000000,-16.587769,0.000000,-23.188688,7.481760,6.600919,-7.416241,0.000000,-9.999804,false
